mij_mii,mij
.0001908,.0001362
.0001512,.000108
.0002269,.0001619
.0010586,.0007558
.000189,.000135
.0032893,.0023482
.0000386,.0000334
.0001788,.0001548
.0000148,.0000128
.0025027,.0021676
.0001077,.0000933
.0001788,.0001548
.0001127,.0000976
.0007151,.0006193
.0000645,.0000559
.0001316,.000114
.0014301,.0012386
.0793708,.0687435
.0547015,.0473773
1,.8661061
.0006265,.0005426
.0003575,.0003097
.0003575,.0003097
.0005363,.0004645
.0000243,.0000211
.0000793,.0000687
.0000235,.0000204
.0000706,.0000611
.0000315,.0000273
.0000671,.0000581
.0001788,.0001548
.0001788,.0001548
.0001788,.0001548
.0010518,.000911
.0000798,.0000691
.0001564,.0001354
.0000558,.0000483
.0003575,.0003097
.0000796,.0000689
.0005363,.0004645
.0000151,.0000131
.0000639,.0000553
.000022,.0000191
.0001788,.0001548
.0000305,.0000264
.0000966,.0000837
.0000511,.0000442
.0005363,.0004645
.0000467,.0000404
.0003575,.0003097
.0000414,.0000359
.0032177,.0027869
.0000486,.0000421
.0001788,.0001548
.0000489,.0000424
.0001319,.0001142
.0002024,.0001753
.0003575,.0003097
.0000163,.0000141
.0010726,.000929
.00024,.0002079
.000318,.0002754
.0007788,.0006745
.0012513,.0010838
.0001788,.0001548
.0005363,.0004645
.0002275,.0001787
.0001896,.0001489
.0000275,.0000216
.0010996,.0008635
.0007583,.0005955
.0005308,.0004169
.0002654,.0002084
.0113748,.0089332
.0002038,.0001601
.0000379,.0000298
.0040949,.003216
.062827,.0493413
.0002275,.0001787
.0002654,.0002084
1,.7853516
.1343748,.1055314
.0003412,.000268
.0006067,.0004764
.0001896,.0001489
.0007962,.0006253
.0000369,.000029
.0001106,.0000869
.0000379,.0000298
.0001366,.0001073
.0001517,.0001191
.0002275,.0001787
.0000758,.0000596
.0003033,.0002382
.0001489,.0001169
.0002919,.0002292
.0009479,.0007444
.0058391,.0045857
.0001137,.0000893
.0001137,.0000893
.0000237,.0000186
.0001137,.0000893
.0000354,.0000278
